service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
2.1719999999999997,2.912,3.7,0.036000000000000004,0.152,0.406,0.003,0.012,0.08900000000000001,0.5677570093457944,0.5420560747663551,0.4789719626168225,150,111,76,107,160,159,0.00218
2.166,2.867,3.639,0.053,0.185,0.386,0.003,0.013999999999999999,0.051,0.2800453514739229,0.8163265306122449,0.19387755102040816,150,111,76,107,160,153,0.00218
2.166,3.0460000000000003,4.184,0.053,0.185,0.406,0.003,0.016,0.051,0.20408163265306126,0.8963265306122449,0.1110204081632653,150,63,150,165,90,151,0.00218
2.166,2.9219999999999997,3.784,0.053,0.185,0.386,0.003,0.016,0.05,0.14425851125216388,0.90132717830352,0.103866128101558,150,63,150,165,90,154,0.00218
2.003,2.9219999999999997,3.7489999999999997,0.053,0.177,0.376,0.003,0.016,0.055,0.11536686663590215,0.9312413474850024,0.07337332718043378,150,63,150,165,90,159,0.00218
2.003,2.9219999999999997,3.7489999999999997,0.053,0.177,0.376,0.003,0.016,0.055,0.11536686663590215,0.9312413474850024,0.07337332718043378,150,108,113,183,174,152,0.00218
2.0180000000000002,2.9219999999999997,3.7680000000000002,0.053,0.177,0.364,0.003,0.016,0.055,0.09480470231323472,0.9336367083807356,0.06939704209328783,150,108,113,183,174,159,0.00218
2.0180000000000002,2.98,3.944,0.036000000000000004,0.168,0.34,0.003,0.016,0.05,0.08224115334207077,0.95478374836173,0.0481651376146789,150,76,54,166,187,157,0.00218
2.0180000000000002,2.98,3.891,0.036000000000000004,0.159,0.33899999999999997,0.003,0.016,0.055,0.07132708155726059,0.9457232168229612,0.05683432793407218,150,76,54,166,187,155,0.00218
2.166,3.13,4.271,0.036000000000000004,0.152,0.33899999999999997,0.003,0.016,0.055,0.06511024643320364,0.9509727626459143,0.05136186770428016,150,57,47,60,123,158,0.00218
2.0180000000000002,3.0460000000000003,4.255,0.036000000000000004,0.152,0.326,0.003,0.016,0.05,0.06511024643320364,0.9509727626459143,0.05136186770428016,150,57,47,60,123,154,0.00218
2.0180000000000002,3.0460000000000003,4.255,0.036000000000000004,0.152,0.326,0.003,0.016,0.05,0.06511024643320364,0.9509727626459143,0.05136186770428016,150,57,47,60,123,152,0.00218
2.0180000000000002,3.0460000000000003,4.212,0.036000000000000004,0.159,0.341,0.003,0.013999999999999999,0.05,0.05739766750514521,0.957466270294992,0.04390578550194375,150,136,82,156,53,158,0.00218
2.166,3.167,4.271,0.036000000000000004,0.159,0.33899999999999997,0.003,0.013999999999999999,0.045,0.052521448001673986,0.962544465369324,0.039338773802050635,150,136,82,156,53,151,0.00218
2.166,3.2489999999999997,4.543,0.039,0.168,0.364,0.003,0.013999999999999999,0.05,0.04919639357114857,0.960407683261466,0.041356330850646814,150,150,52,40,57,155,0.00218
2.166,3.3360000000000003,4.646,0.039,0.159,0.35,0.003,0.016,0.052000000000000005,0.04662827419654468,0.9661898569570871,0.03548207319338659,150,150,52,40,57,151,0.00218
2.166,3.41,4.625,0.039,0.168,0.364,0.003,0.016,0.055,0.04317165462676298,0.9705882352941176,0.030959752321981424,150,150,52,40,57,158,0.00218
2.166,3.41,4.625,0.039,0.168,0.364,0.003,0.016,0.055,0.04317165462676298,0.9705882352941176,0.030959752321981424,150,48,135,91,145,159,0.00218
2.322,3.492,4.851,0.036000000000000004,0.185,0.406,0.003,0.016,0.059000000000000004,0.0414738929279577,0.9768671513549242,0.02461996034368804,150,48,135,91,145,152,0.00218
2.322,3.614,4.896,0.053,0.185,0.379,0.003,0.016,0.064,0.039589905362776026,0.9719242902208202,0.029495268138801264,150,72,124,174,144,155,0.00218
2.322,3.614,4.877,0.053,0.185,0.406,0.003,0.019,0.064,0.037423587296854036,0.9707768003578352,0.03056508125838676,150,72,124,174,144,151,0.00218
2.322,3.7489999999999997,4.896,0.053,0.21,0.42,0.003,0.019,0.068,0.03583108204180293,0.9714204464666572,0.029859235034835774,150,99,157,75,41,155,0.00218
2.322,3.7489999999999997,4.979,0.053,0.21,0.42,0.003,0.019,0.067,0.03414634146341464,0.9738482384823848,0.027371273712737128,150,99,157,75,41,160,0.00218
2.322,3.7489999999999997,4.979,0.053,0.21,0.42,0.003,0.019,0.067,0.03414634146341464,0.9738482384823848,0.027371273712737128,150,99,157,75,41,153,0.00218
2.322,3.7489999999999997,4.958,0.053,0.21,0.43200000000000005,0.003,0.019,0.064,0.0321674751085014,0.9754914475363798,0.02565739086035231,150,155,74,165,99,156,0.00218
2.322,3.7489999999999997,4.979,0.053,0.225,0.43700000000000006,0.003,0.019,0.064,0.03082945926107169,0.9774896011744556,0.023733790066063132,150,155,74,165,99,160,0.00218
2.44,3.7489999999999997,4.979,0.053,0.225,0.46,0.003,0.019,0.067,0.0296435713445477,0.9783554875896954,0.0229384778261381,150,74,97,177,83,155,0.00218
2.44,3.79,4.994,0.053,0.23,0.45,0.003,0.019,0.069,0.028516464863641507,0.980536381124816,0.02048206404888537,150,74,97,177,83,155,0.00218
2.44,3.79,4.979,0.053,0.24,0.46799999999999997,0.003,0.019,0.069,0.02736453469432077,0.9796937778260396,0.021283526984471716,150,74,97,177,83,156,0.00218
2.44,3.79,4.979,0.053,0.24,0.46799999999999997,0.003,0.019,0.069,0.02736453469432077,0.9796937778260396,0.021283526984471716,150,92,41,48,189,155,0.00218
2.44,3.79,4.979,0.069,0.24,0.46799999999999997,0.003,0.019,0.069,0.026476150451775586,0.979407438537508,0.02153813826434125,150,92,41,48,189,159,0.00218
2.44,3.79,4.979,0.069,0.24,0.46799999999999997,0.003,0.022000000000000002,0.069,0.025685455101416774,0.978799306900418,0.022118030781775558,150,198,143,125,117,158,0.00218
2.44,3.79,4.979,0.053,0.24,0.46799999999999997,0.003,0.022000000000000002,0.069,0.025685455101416774,0.978799306900418,0.022118030781775558,150,198,143,125,117,157,0.00218
2.44,3.79,4.958,0.053,0.24,0.46799999999999997,0.003,0.022000000000000002,0.069,0.024606971975393032,0.9839859388731568,0.01689288155453569,150,198,143,125,117,160,0.00218
2.44,3.79,4.958,0.053,0.24,0.46799999999999997,0.003,0.019,0.068,0.02366863905325444,0.9842209072978304,0.01643655489809336,150,199,136,95,50,156,0.00218
2.44,3.79,4.958,0.053,0.24,0.46799999999999997,0.003,0.019,0.068,0.02366863905325444,0.9842209072978304,0.01643655489809336,150,199,136,95,50,160,0.00218
2.44,3.79,4.955,0.069,0.24,0.473,0.004,0.022000000000000002,0.069,0.022877893781207446,0.9852927825692238,0.015524285065819338,150,79,52,130,108,153,0.00218
2.44,3.79,4.958,0.069,0.24,0.473,0.004,0.022000000000000002,0.069,0.022183098591549297,0.9852112676056338,0.01558098591549296,150,79,52,130,108,151,0.00218
2.44,3.79,4.958,0.069,0.24,0.48100000000000004,0.004,0.022000000000000002,0.069,0.021553198768388643,0.9865720150530276,0.014197742045843313,150,106,66,177,78,154,0.00218
2.571,3.79,4.979,0.069,0.272,0.624,0.004,0.022000000000000002,0.069,0.020879940343027592,0.9822686220896512,0.01847709006545696,150,106,66,177,78,153,0.00218
2.571,3.875,5.131,0.069,0.272,0.624,0.004,0.022000000000000002,0.068,0.02046285018270402,0.9853024766544864,0.015428339423467316,150,106,66,177,78,154,0.00218
