service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
2.575,3.395,4.6160000000000005,0.08,0.389,0.723,0.003,0.013999999999999999,0.068,0.3268229166666667,0.7760416666666666,0.2643229166666667,140,83,191,160,172,160,0.00219
2.717,3.718,4.71,0.08,0.389,0.713,0.003,0.018000000000000002,0.079,0.3268229166666667,0.7760416666666666,0.2643229166666667,140,83,191,160,172,153,0.00219
2.717,3.718,4.71,0.08,0.389,0.713,0.003,0.018000000000000002,0.079,0.3268229166666667,0.7760416666666666,0.2643229166666667,140,126,86,47,196,142,0.00219
2.717,3.588,4.765,0.08,0.332,0.711,0.003,0.027000000000000003,0.084,0.2261484098939929,0.8869257950530035,0.1413427561837456,140,126,86,47,196,160,0.00219
2.575,3.588,4.6160000000000005,0.099,0.389,0.68,0.003,0.027000000000000003,0.08800000000000001,0.16420782552918534,0.8967286722257858,0.12315586914688904,140,126,86,47,196,142,0.00219
2.575,3.588,4.6160000000000005,0.099,0.332,0.664,0.003,0.027000000000000003,0.08800000000000001,0.13189077794951054,0.9165378670788252,0.09994848016486348,140,53,158,56,63,149,0.00219
2.575,3.605,4.6160000000000005,0.099,0.332,0.64,0.003,0.024,0.08800000000000001,0.1114012184508268,0.9325500435161008,0.08093994778067885,140,53,158,56,63,160,0.00219
2.575,3.718,4.803999999999999,0.099,0.332,0.628,0.003,0.024,0.083,0.09704321455648217,0.9336618650492796,0.07808946171341925,140,94,109,159,151,146,0.00219
2.575,3.718,4.803999999999999,0.099,0.332,0.628,0.003,0.024,0.083,0.09704321455648217,0.9336618650492796,0.07808946171341925,140,94,109,159,151,149,0.00219
2.575,3.681,4.765,0.099,0.332,0.648,0.003,0.024,0.083,0.08376963350785341,0.9427356020942408,0.06740837696335078,140,128,196,199,128,154,0.00219
