service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
0.34600000000000003,0.675,1.0070000000000001,0.006,0.034,0.111,0.002,0.01,0.031,0.028953229398663693,0.9966592427616926,0.0033407572383073497,74,125,145,186,76,142,0.0020099999999999996
0.506,1.135,1.805,0.006,0.043,0.113,0.002,0.012,0.032,0.017113519680547633,0.9971477467199088,0.0028522532800912717,74,125,145,186,76,135,0.0020099999999999996
0.578,1.135,1.78,0.006,0.04,0.10300000000000001,0.002,0.01,0.031,0.01539053482108503,0.9988457098884186,0.0011542901115813775,155,125,188,172,88,132,0.0020099999999999996
0.578,1.1520000000000001,1.78,0.008,0.05,0.15,0.002,0.01,0.028999999999999998,0.011554015020219528,0.9994222992489892,0.0005777007510109763,155,125,188,172,88,148,0.0020099999999999996
0.618,1.9880000000000002,3.6519999999999997,0.01,0.087,0.361,0.003,0.012,0.05,0.017191977077363897,0.9976122254059216,0.002387774594078319,155,125,188,172,88,146,0.0020099999999999996
0.618,1.9880000000000002,3.6519999999999997,0.01,0.087,0.361,0.003,0.012,0.05,0.017191977077363897,0.9976122254059216,0.002387774594078319,93,125,183,111,81,129,0.0020099999999999996
0.722,2.481,3.778,0.013999999999999999,0.145,0.37200000000000005,0.003,0.013000000000000001,0.057999999999999996,0.01465569162818711,0.9933748243324634,0.006625175667536639,93,125,183,111,81,146,0.0020099999999999996
1.002,2.718,3.9210000000000003,0.013999999999999999,0.125,0.37799999999999995,0.003,0.013000000000000001,0.057999999999999996,0.014082058414464534,0.9998261474269821,0.00017385257301808066,43,125,184,101,121,150,0.0020099999999999996
1.204,2.718,3.846,0.013999999999999999,0.125,0.37200000000000005,0.003,0.013999999999999999,0.057999999999999996,0.012196958289414243,0.9983436229483512,0.001656377051648848,43,125,184,101,121,126,0.0020099999999999996
1.204,2.603,3.782,0.021,0.12300000000000001,0.37200000000000005,0.003,0.013000000000000001,0.055,0.010797120767795257,0.9992002132764596,0.0007997867235403893,43,125,184,101,121,139,0.0020099999999999996
1.204,2.603,3.782,0.021,0.12300000000000001,0.37200000000000005,0.003,0.013000000000000001,0.055,0.010797120767795257,0.9992002132764596,0.0007997867235403893,64,125,167,91,101,147,0.0020099999999999996
1.204,2.603,3.778,0.013999999999999999,0.12300000000000001,0.361,0.003,0.013000000000000001,0.057999999999999996,0.009670487106017192,0.9997612225405922,0.0002387774594078319,64,125,167,91,101,144,0.0020099999999999996
1.204,2.603,3.846,0.021,0.12300000000000001,0.37200000000000005,0.003,0.013999999999999999,0.065,0.00949470697369857,0.9992360580595876,0.0007639419404125286,151,125,147,170,49,135,0.0020099999999999996
1.47,2.718,3.895,0.021,0.145,0.37799999999999995,0.003,0.02,0.085,0.009437751004016065,0.9997991967871486,0.00020080321285140563,151,125,147,170,49,147,0.0020099999999999996
1.47,2.8739999999999997,3.895,0.021,0.145,0.37200000000000005,0.003,0.017,0.08199999999999999,0.008755588673621459,0.9979508196721312,0.0020491803278688526,191,125,138,79,67,144,0.0020099999999999996
1.47,2.718,3.895,0.021,0.12300000000000001,0.37200000000000005,0.003,0.017,0.08199999999999999,0.008080460758187913,0.9999140376515088,8.596234849136078e-05,191,125,138,79,67,133,0.0020099999999999996
1.47,2.718,3.895,0.021,0.12300000000000001,0.37200000000000005,0.003,0.017,0.08199999999999999,0.008080460758187913,0.9999140376515088,8.596234849136078e-05,191,125,138,79,67,129,0.0020099999999999996
1.47,2.718,3.85,0.021,0.145,0.37799999999999995,0.003,0.017,0.08199999999999999,0.0078295261925902,0.9982242311728146,0.0017757688271854066,42,125,129,93,133,148,0.0020099999999999996
1.47,2.9589999999999996,3.9330000000000003,0.026000000000000002,0.157,0.414,0.003,0.017,0.08199999999999999,0.007493188010899181,0.996821071752952,0.0031789282470481377,42,125,129,93,133,133,0.0020099999999999996
1.47,2.9589999999999996,3.965,0.026000000000000002,0.157,0.397,0.003,0.017,0.075,0.007040250320011378,0.9985066135684824,0.0014933864315175651,77,125,61,71,136,138,0.0020099999999999996
1.47,2.8739999999999997,3.9330000000000003,0.026000000000000002,0.145,0.397,0.003,0.017,0.073,0.006611459863763857,0.9998664351542674,0.00013356484573260314,77,125,61,71,136,126,0.0020099999999999996
1.47,2.8739999999999997,3.895,0.026000000000000002,0.145,0.397,0.003,0.017,0.073,0.006294506612410986,0.999237029501526,0.0008265513733468973,77,125,61,71,136,137,0.0020099999999999996
1.47,2.8739999999999997,3.895,0.026000000000000002,0.145,0.397,0.003,0.017,0.073,0.006294506612410986,0.999237029501526,0.0008265513733468973,112,125,164,182,161,150,0.0020099999999999996
1.47,2.8739999999999997,3.895,0.026000000000000002,0.145,0.397,0.003,0.017,0.07,0.0059844042797557884,0.9989723750226682,0.0010276249773318018,112,125,164,182,161,128,0.0020099999999999996
1.47,2.9589999999999996,3.895,0.026000000000000002,0.145,0.391,0.003,0.017,0.07,0.0057162653732894505,0.9997690397828974,0.0002309602171026041,69,125,145,61,134,134,0.0020099999999999996
1.705,2.9589999999999996,3.895,0.026000000000000002,0.145,0.397,0.003,0.017,0.07,0.005458455091801291,0.9989524177096544,0.001102718200363897,69,125,145,61,134,129,0.0020099999999999996
1.705,2.9589999999999996,3.846,0.026000000000000002,0.157,0.397,0.003,0.013999999999999999,0.067,0.0052187664733790206,0.9995782814971008,0.0004217185028993147,69,125,145,61,134,128,0.0020099999999999996
1.608,2.958,3.855,0.028999999999999998,0.15,0.396,0.003,0.015,0.067,0.005187348912167607,0.9998489121676069,0.00015108783239323127,181,125,50,170,94,136,0.0020099999999999996
1.608,2.958,3.855,0.028999999999999998,0.15,0.396,0.003,0.015,0.067,0.005187348912167607,0.9998489121676069,0.00015108783239323127,181,125,50,170,94,148,0.0020099999999999996
1.608,2.8139999999999996,3.855,0.017,0.15,0.396,0.003,0.015,0.064,0.004968165155315454,1.0,0.0,141,125,179,76,184,142,0.0020099999999999996
1.608,2.8139999999999996,3.8080000000000003,0.017,0.15,0.396,0.003,0.015,0.059000000000000004,0.004784688995215311,0.999860640126353,0.00013935987364704789,141,125,179,76,184,150,0.0020099999999999996
1.608,2.8139999999999996,3.8080000000000003,0.017,0.15,0.396,0.003,0.015,0.059000000000000004,0.004797345767575322,0.9991032998565279,0.0008967001434720231,131,125,152,102,80,149,0.0020099999999999996
