service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
2.023,2.985,3.838,0.075,0.24600000000000002,0.546,0.003,0.026000000000000002,0.10400000000000001,0.06274007682458388,0.997439180537772,0.015364916773367475,101,30,71,194,84,35,0.00216
2.1830000000000003,3.178,4.058,0.06,0.22899999999999998,0.48200000000000004,0.003,0.027000000000000003,0.102,0.041880341880341884,1.005982905982906,0.002564102564102564,101,30,71,194,84,35,0.00216
2.36,3.44,4.178,0.06,0.221,0.423,0.003,0.022000000000000002,0.10099999999999999,0.03199015687480775,1.0046139649338666,0.0015379883112888342,147,30,92,115,161,33,0.00216
2.36,3.44,4.123,0.06,0.21600000000000003,0.41,0.003,0.02,0.094,0.025187696778881084,1.0024218939210463,0.002664083313150884,147,30,92,115,161,35,0.00216
2.36,3.44,4.123,0.06,0.21600000000000003,0.41,0.003,0.02,0.094,0.025187696778881084,1.0024218939210463,0.002664083313150884,147,30,92,115,161,36,0.00216
2.36,3.44,4.2,0.06,0.205,0.39799999999999996,0.003,0.016,0.085,0.020980431712729473,1.0040346984062942,0.0,150,30,184,48,161,34,0.00216
2.36,3.44,4.178,0.06,0.221,0.48200000000000004,0.003,0.016,0.085,0.02322007853850094,1.0015366228444595,0.0018780945876728699,150,30,184,48,161,31,0.00216
2.36,3.3560000000000003,4.173,0.06,0.23199999999999998,0.46299999999999997,0.003,0.02,0.098,0.0204682668237373,1.0,0.002945074363127669,67,30,72,172,136,32,0.00216
2.36,3.44,4.2,0.06,0.23199999999999998,0.45899999999999996,0.003,0.02,0.094,0.018518518518518517,1.0014550264550264,0.0011904761904761904,67,30,72,172,136,35,0.00216
2.36,3.44,4.178,0.075,0.23199999999999998,0.447,0.003,0.02,0.085,0.01631511478848619,1.0013984384104415,0.0009322922736277825,101,30,74,173,196,34,0.00216
2.36,3.44,4.178,0.075,0.23199999999999998,0.447,0.003,0.02,0.085,0.01631511478848619,1.0013984384104415,0.0009322922736277825,101,30,74,173,196,33,0.00216
2.36,3.44,4.178,0.075,0.23199999999999998,0.45,0.003,0.022000000000000002,0.086,0.01482265749073584,1.0014822657490736,0.0008470089994706192,101,30,74,173,196,34,0.00216
2.36,3.44,4.178,0.075,0.23199999999999998,0.45,0.003,0.02,0.085,0.01365320850399844,1.001950458357714,0.0,66,30,200,177,150,32,0.00216
