service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
2.0,3.469,4.671,0.048,0.225,0.397,0.003,0.021,0.071,0.057416267942583726,0.9792663476874004,0.0215311004784689,169,130,67,165,160,149,0.00216
2.206,3.63,4.646,0.048,0.225,0.466,0.003,0.021,0.063,0.04553734061930783,0.9877049180327868,0.012295081967213116,169,130,67,165,160,135,0.00216
2.206,3.63,4.646,0.048,0.225,0.466,0.003,0.021,0.063,0.04553734061930783,0.9877049180327868,0.012295081967213116,122,130,159,188,150,143,0.00216
2.0,3.355,4.456,0.048,0.204,0.428,0.003,0.013999999999999999,0.055,0.033270558694287515,0.9993722536095416,0.0006277463904582549,122,130,159,188,150,138,0.00216
2.0,3.2230000000000003,4.337,0.048,0.17600000000000002,0.39399999999999996,0.003,0.013999999999999999,0.052000000000000005,0.025659646574679253,0.998547567175018,0.0014524328249818446,122,130,159,188,150,152,0.00216
2.0,3.056,4.212,0.048,0.17600000000000002,0.386,0.003,0.012,0.052000000000000005,0.0206145468689226,0.9961104628549202,0.0036950602878257494,93,130,121,129,91,131,0.00216
2.0,2.998,4.138,0.039,0.16,0.377,0.003,0.012,0.048,0.017374200950663825,0.9975413866579248,0.0024586133420750693,93,130,121,129,91,156,0.00216
1.851,2.925,4.109,0.039,0.16,0.36700000000000005,0.003,0.012,0.048,0.01477557847783663,0.9984666852523001,0.0015333147477000278,176,130,172,97,140,149,0.00216
1.851,2.925,4.109,0.039,0.16,0.36700000000000005,0.003,0.012,0.048,0.01477557847783663,0.9984666852523001,0.0015333147477000278,176,130,172,97,140,135,0.00216
1.851,2.889,3.997,0.031,0.16,0.341,0.003,0.013999999999999999,0.054000000000000006,0.012966360856269113,0.9992660550458716,0.0007339449541284404,176,130,172,97,140,155,0.00216
1.851,2.889,3.997,0.031,0.16,0.341,0.003,0.013999999999999999,0.054000000000000006,0.011698488025604236,0.9974616488246332,0.002538351175366957,107,130,133,49,143,155,0.00216
1.851,2.858,3.997,0.039,0.16,0.335,0.003,0.013999999999999999,0.063,0.010539922442080144,0.9986079347718008,0.0013920652281992642,107,130,133,49,143,156,0.00216
1.851,2.858,3.947,0.031,0.16,0.325,0.003,0.013999999999999999,0.063,0.009519533004041309,0.9986528962730129,0.0013471037269869779,170,130,70,79,50,149,0.00216
1.851,2.858,3.947,0.031,0.16,0.325,0.003,0.013999999999999999,0.063,0.009519533004041309,0.9986528962730129,0.0013471037269869779,170,130,70,79,50,150,0.00216
1.851,2.858,3.947,0.039,0.16,0.325,0.003,0.013999999999999999,0.063,0.009155984684534707,0.9995005826535708,0.000499417346429166,192,130,119,155,61,154,0.00216
1.851,2.858,3.947,0.039,0.14300000000000002,0.325,0.003,0.013999999999999999,0.063,0.008476535408800185,0.9998458811743854,0.00023117823842182323,192,130,119,155,61,135,0.00216
1.851,2.858,3.862,0.039,0.14300000000000002,0.32,0.003,0.013999999999999999,0.063,0.007955449482895784,0.9993490995877632,0.0006509004122369277,192,130,119,155,61,138,0.00216
1.851,2.889,3.862,0.039,0.14300000000000002,0.32,0.003,0.013999999999999999,0.063,0.007427915456816802,0.9974339928421906,0.00263353366196232,160,130,89,50,79,135,0.00216
