r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,r1_throughput,r2_throughput,r1_mean_latency,r2_mean_latency,throughput
146,89,91,183,45,61.12,85.95,0.00184,0.00166,147.07
155,181,130,174,117,64.99,97.64,0.0016799999999999999,0.00132,162.63
61,44,164,145,79,51.39,75.22,0.0017800000000000001,0.0019399999999999999,126.61
64,97,160,131,98,50.52,81.17,0.00173,0.0019299999999999999,131.69
93,198,199,42,125,50.25,75.93,0.00177,0.00188,126.18
103,194,51,138,152,54.66,79.37,0.0017900000000000001,0.00182,134.03
117,148,41,124,154,55.94,80.92,0.00176,0.00189,136.86
186,56,65,32,198,69.19,99.38,0.00181,0.00145,168.57
69,124,108,120,88,59.54,93.34,0.0017800000000000001,0.00163,152.88
151,85,192,163,140,56.94,84.67,0.00176,0.00184,141.61
198,100,101,62,154,64.07,95.58,0.00182,0.00152,159.64999999999998
63,26,31,66,183,63.46,92.78,0.0017900000000000001,0.0017,156.24
67,111,195,63,156,30.45,44.21,0.00149,0.00157,74.66
76,109,58,32,41,61.64,90.29,0.00176,0.00139,151.93
112,55,103,53,105,55.75,85.06,0.0018,0.0019199999999999998,140.81
128,85,53,190,170,52.91,88.97,0.0017800000000000001,0.00191,141.88
90,80,141,123,165,45.89,74.31,0.0018,0.00182,120.2
138,152,40,78,125,66.47,98.1,0.00177,0.0015400000000000001,164.57
79,142,115,117,29,59.92,90.6,0.00181,0.00189,150.51999999999998
180,82,94,101,38,70.72,95.94,0.00182,0.00164,166.66
63,143,142,95,199,59.56,86.36,0.00173,0.00182,145.92000000000002
82,34,132,160,131,56.51,82.11,0.0017,0.00188,138.62
53,170,146,172,26,55.58,82.85,0.0017800000000000001,0.00189,138.43
103,184,122,53,32,76.51,94.22,0.00182,0.914239,170.73000000000002
138,47,96,195,102,57.19,85.45,0.0017900000000000001,0.00183,142.64
97,51,187,25,39,56.25,83.2,0.00174,0.00189,139.45
124,99,197,35,181,62.08,92.56,0.00182,0.00176,154.64
65,103,119,44,191,58.65,82.22,0.00181,0.0019299999999999999,140.87
173,78,71,161,97,64.26,95.64,0.0017800000000000001,0.0016,159.9
67,144,184,53,200,43.96,69.28,0.00171,0.0018,113.24000000000001
175,56,159,144,180,45.43,76.88,0.00175,0.00196,122.31
76,176,60,58,153,49.01,76.42,0.00176,0.00184,125.43
39,171,147,120,106,57.87,91.65,0.0017900000000000001,0.00188,149.52
69,101,143,151,100,57.71,80.97,0.0017,0.00189,138.68
36,77,105,123,113,51.39,80.9,0.00181,0.00188,132.29000000000002
151,185,136,196,134,66.19,99.43,0.00182,0.0013,165.62
154,173,107,157,54,48.04,73.83,0.0017900000000000001,0.00185,121.87
164,198,147,69,57,58.7,89.07,0.00177,0.00177,147.76999999999998
82,181,158,104,74,45.42,65.4,0.0017900000000000001,0.0019,110.82000000000001
173,83,159,181,71,54.5,77.56,0.00175,0.0018700000000000001,132.06
197,109,167,32,45,49.44,72.9,0.00164,0.0018,122.34
190,73,63,156,62,32.44,46.01,0.0015400000000000001,0.00171,78.44999999999999
153,169,74,132,148,41.59,65.68,0.0017800000000000001,0.00198,107.27000000000001
99,111,131,91,130,58.09,89.53,0.0018,0.00177,147.62
79,120,170,173,200,57.99,91.84,0.00177,0.0017900000000000001,149.83
142,156,139,79,159,45.98,69.42,0.00176,0.0017,115.4
200,80,170,125,119,71.99,89.52,0.00174,0.00116,161.51
106,45,140,190,55,54.27,76.52,0.00182,0.0019399999999999999,130.79
39,175,88,193,66,61.96,96.06,0.001,0.00156,158.02
155,167,39,185,26,59.06,90.01,0.00177,0.00175,149.07
57,88,48,142,195,56.07,81.4,0.0018,0.0018700000000000001,137.47
123,196,178,191,43,64.35,94.98,0.0017800000000000001,0.00182,159.32999999999998
158,97,146,100,148,54.59,86.67,0.00172,0.00185,141.26
71,76,94,140,104,52.75,73.69,0.0018,0.0019199999999999998,126.44
63,26,44,152,26,49.22,71.71,0.00177,0.0019,120.92999999999999
151,110,170,25,142,51.09,73.66,0.00181,0.00188,124.75
151,171,96,131,34,63.27,93.81,0.00175,0.00175,157.08
90,141,59,158,40,52.09,74.27,0.0017,0.00189,126.36
33,134,181,183,62,42.8,62.23,0.0016200000000000001,0.00177,105.03
145,60,187,196,127,50.92,81.14,0.0017,0.00184,132.06
