service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
0.239,0.396,0.608,0.003,0.016,0.08800000000000001,0.002,0.006999999999999999,0.013999999999999999,0.0033069291701914947,0.9999230946704608,7.690532953933707e-05,193,182,72,105,152,112,0.00263
0.511,1.558,2.252,0.008,0.065,0.155,0.003,0.011000000000000001,0.085,0.03908794788273615,1.0,0.0,99,111,25,105,43,112,0.00263
1.381,2.99,4.0,0.016,0.10400000000000001,0.267,0.003,0.011000000000000001,0.053,0.03255813953488372,1.0,0.0,99,111,25,105,43,109,0.00263
1.381,2.99,4.0,0.016,0.10400000000000001,0.267,0.003,0.011000000000000001,0.053,0.03255813953488372,1.0,0.0,109,165,113,105,117,106,0.00263
1.931,3.3089999999999997,4.129,0.026000000000000002,0.141,0.355,0.003,0.025,0.12300000000000001,0.022151898734177212,1.0,0.0,98,184,45,105,99,109,0.00263
2.353,3.628,4.52,0.034,0.16,0.435,0.003,0.025,0.12300000000000001,0.02564102564102564,1.0,0.0,98,184,45,105,99,106,0.00263
2.353,3.628,4.52,0.034,0.16,0.435,0.003,0.025,0.12300000000000001,0.02564102564102564,1.0,0.0,37,36,63,105,171,107,0.00263
2.353,3.739,4.571000000000001,0.034,0.188,0.46799999999999997,0.004,0.025,0.122,0.020765736534717714,1.0,0.0,36,159,137,105,192,111,0.00263
2.353,3.739,4.571000000000001,0.034,0.188,0.46799999999999997,0.004,0.025,0.122,0.020765736534717714,1.0,0.0,36,159,137,105,192,110,0.00263
2.6,3.971,5.612,0.048,0.289,0.614,0.004,0.025,0.10800000000000001,0.017708909795240733,1.0,0.0,80,41,37,105,156,114,0.00263
2.6,4.266,5.864,0.065,0.369,0.899,0.004,0.033,0.172,0.01588089330024814,1.0,0.0,80,41,37,105,156,111,0.00263
2.6,4.266,5.864,0.065,0.369,0.899,0.004,0.033,0.172,0.01588089330024814,1.0,0.0,44,94,138,105,123,111,0.00263
2.888,4.397,5.864,0.065,0.395,0.892,0.004,0.03,0.172,0.02087864288821227,0.9995650282731624,0.00043497172683775554,69,125,89,105,95,113,0.00263
2.6,4.266,5.849,0.065,0.369,0.887,0.004,0.03,0.165,0.01809954751131222,0.9996229260935144,0.0003770739064856712,69,125,89,105,95,115,0.00263
2.6,4.266,5.849,0.065,0.369,0.887,0.004,0.03,0.165,0.01809954751131222,0.9996229260935144,0.0003770739064856712,88,47,149,105,107,111,0.00263
2.888,4.266,5.812,0.065,0.369,0.878,0.004,0.03,0.168,0.016576454668470908,0.9983085250338296,0.0020297699594046007,186,144,72,105,188,112,0.00263
2.888,4.5360000000000005,5.812,0.091,0.442,0.9009999999999999,0.004,0.03,0.16399999999999998,0.015418502202643172,1.0,0.0,186,144,72,105,188,107,0.00263
2.888,4.5360000000000005,5.812,0.091,0.442,0.9009999999999999,0.004,0.03,0.16399999999999998,0.015418502202643172,1.0,0.0,170,138,178,105,30,107,0.00263
2.888,4.397,5.818,0.065,0.395,0.8909999999999999,0.004,0.025,0.16399999999999998,0.014157757873446981,1.0,0.0,170,138,178,105,30,109,0.00263
2.888,4.397,5.818,0.065,0.395,0.8909999999999999,0.004,0.025,0.16399999999999998,0.014157757873446981,1.0,0.0,125,39,117,105,94,109,0.00263
2.888,4.397,5.812,0.065,0.395,0.8909999999999999,0.004,0.025,0.149,0.01282051282051282,1.0,0.0,198,63,158,105,113,111,0.00263
2.888,4.5360000000000005,5.831,0.065,0.395,0.878,0.004,0.025,0.149,0.01208086785009862,0.9997534516765286,0.0002465483234714004,198,63,158,105,113,114,0.00263
2.888,4.5360000000000005,5.831,0.065,0.395,0.878,0.004,0.025,0.149,0.01208086785009862,0.9997534516765286,0.0002465483234714004,179,27,139,105,197,110,0.00263
2.888,4.5360000000000005,5.812,0.065,0.369,0.878,0.004,0.025,0.133,0.011363636363636364,1.0,0.0,32,148,69,105,165,108,0.00263
3.12,4.5360000000000005,5.812,0.091,0.395,0.878,0.004,0.025,0.13,0.010740903112669882,1.0,0.0,32,148,69,105,165,113,0.00263
3.12,4.5360000000000005,5.812,0.091,0.395,0.878,0.004,0.025,0.13,0.010740903112669882,1.0,0.0,191,122,80,105,194,111,0.00263
3.12,4.397,5.782,0.091,0.395,0.878,0.004,0.025,0.13,0.01005953602956272,1.0,0.0,131,64,32,105,103,111,0.00263
3.12,4.5360000000000005,5.812,0.091,0.369,0.867,0.004,0.025,0.13,0.0095703125,1.0,0.0,131,64,32,105,103,107,0.00263
3.12,4.5360000000000005,5.812,0.091,0.369,0.867,0.004,0.025,0.13,0.0095703125,1.0,0.0,43,75,74,105,187,108,0.00263
3.12,4.5360000000000005,5.999,0.091,0.395,0.878,0.004,0.03,0.13,0.009188074254640915,0.9983123945246578,0.001687605475342209,43,75,74,105,187,115,0.00263
3.12,4.5360000000000005,5.999,0.091,0.395,0.878,0.004,0.03,0.13,0.009188074254640915,0.9983123945246578,0.001687605475342209,133,121,139,105,36,108,0.00263
3.12,4.68,6.148,0.091,0.395,0.878,0.005,0.03,0.127,0.008859157476044115,0.9998192008678358,0.0001807991321641656,59,92,118,105,139,110,0.00263
3.12,4.833,6.4270000000000005,0.091,0.395,0.878,0.005,0.03,0.127,0.008538072834988673,1.0,0.0,59,92,118,105,139,107,0.00263
3.3089999999999997,4.979,6.4270000000000005,0.091,0.395,0.8909999999999999,0.005,0.03,0.127,0.008300863967474165,0.9998305946129088,0.0001694053870913095,162,186,32,105,45,107,0.00263
3.3089999999999997,4.979,6.4270000000000005,0.091,0.395,0.8909999999999999,0.005,0.03,0.127,0.008300863967474165,0.9998305946129088,0.0001694053870913095,140,187,74,105,116,111,0.00263
