service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
0.59,0.83,1.202,0.016,0.068,0.147,0.002,0.008,0.031,0.046875,0.9928977272727272,0.007102272727272726,152,109,140,76,181,146,0.0015
0.59,0.83,1.202,0.016,0.068,0.147,0.002,0.008,0.031,0.046875,0.9928977272727272,0.007102272727272726,130,192,140,191,177,145,0.0015
0.623,1.31,1.8769999999999998,0.017,0.077,0.162,0.002,0.01,0.057,0.024405908798972385,0.9987154784842646,0.0019267822736030828,140,134,140,177,56,153,0.0015
0.552,1.158,1.828,0.009000000000000001,0.071,0.147,0.002,0.009000000000000001,0.053,0.01582673885880883,0.9979175343606832,0.0020824656393169517,189,156,140,44,192,145,0.0015
0.552,1.064,1.7790000000000001,0.009000000000000001,0.068,0.161,0.002,0.008,0.049,0.014071581523401652,0.9996940960538392,0.00030590394616090554,189,156,140,44,192,149,0.0015
0.552,0.966,1.7619999999999998,0.009000000000000001,0.059000000000000004,0.142,0.002,0.008,0.039,0.011194937941104892,0.9992698953516672,0.0007301046483329277,76,34,140,176,161,145,0.0015
0.552,1.01,1.672,0.009000000000000001,0.059000000000000004,0.138,0.002,0.008,0.035,0.011194937941104892,1.2049160379654418,0.00024336821611097592,187,200,140,111,26,149,0.0015
0.552,1.01,1.672,0.009000000000000001,0.059000000000000004,0.138,0.002,0.008,0.035,0.009289176090468495,0.9997980613893376,0.00020193861066235866,82,41,140,61,115,149,0.0015
0.623,1.158,1.761,0.009000000000000001,0.054000000000000006,0.138,0.002,0.009000000000000001,0.049,0.00796398891966759,0.9996537396121884,0.00034626038781163435,194,105,140,119,198,152,0.0015
0.552,1.158,1.734,0.006,0.05,0.133,0.002,0.01,0.049,0.00690794413575612,0.9998498273013966,0.0001501726986033939,194,105,140,119,198,147,0.0015
0.552,1.158,1.7109999999999999,0.006,0.048,0.11900000000000001,0.002,0.01,0.049,0.006119462551549821,1.0,0.0,124,109,140,108,107,142,0.0015
0.552,1.064,1.699,0.006,0.048,0.11900000000000001,0.002,0.009000000000000001,0.043,0.005607922682257487,0.9998806824961222,0.00011931750387781887,141,104,140,95,28,153,0.0015
0.552,1.064,1.672,0.006,0.048,0.11699999999999999,0.002,0.01,0.043,0.005094298721005853,0.9998916106655104,0.00010838933448948625,123,127,140,154,85,144,0.0015
0.552,1.064,1.672,0.006,0.048,0.11699999999999999,0.002,0.01,0.043,0.005094298721005853,0.9998916106655104,0.00010838933448948625,195,139,140,171,87,151,0.0015
0.552,1.064,1.6440000000000001,0.006,0.048,0.11900000000000001,0.002,0.01,0.039,0.004758600178447507,0.9996034499851294,0.00039655001487062564,77,35,140,194,155,141,0.0015
0.552,1.01,1.6340000000000001,0.006,0.048,0.11900000000000001,0.002,0.009000000000000001,0.039,0.004657534246575342,0.9999086757990868,9.1324200913242e-05,77,35,140,194,155,143,0.0015
0.552,1.01,1.611,0.006,0.048,0.11699999999999999,0.002,0.009000000000000001,0.036000000000000004,0.004320569298542866,1.0,0.0,170,81,140,169,59,142,0.0015
